timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-08T20:35:13+00:00;55;
2025-11-08T20:37:13+00:00;57;
2025-11-08T20:39:34+00:00;59;
2025-11-08T20:41:34+00:00;61;
2025-11-08T20:44:34+00:00;64;
2025-11-08T20:46:34+00:00;65;
2025-11-08T20:50:35+00:00;67;
2025-11-08T20:56:34+00:00;66;
2025-11-08T21:03:35+00:00;64;
2025-11-08T21:05:35+00:00;63;
2025-11-08T21:08:35+00:00;61;
2025-11-08T21:09:35+00:00;60;
2025-11-08T21:12:35+00:00;58;
2025-11-08T21:14:36+00:00;56;
2025-11-08T21:16:35+00:00;54;
2025-11-08T21:19:35+00:00;52;
2025-11-08T21:20:35+00:00;52;
2025-11-08T21:24:38+00:00;47;
2025-11-08T21:25:35+00:00;46;
2025-11-08T21:27:35+00:00;44;
2025-11-08T21:29:34+00:00;42;
2025-11-08T21:32:34+00:00;39;
2025-11-08T21:33:34+00:00;38;
2025-11-08T21:35:35+00:00;36;
2025-11-08T21:37:34+00:00;34;
2025-11-08T21:38:55+00:00;32;
2025-11-08T21:41:55+00:00;29;
2025-11-08T21:43:55+00:00;28;
2025-11-08T21:44:56+00:00;26;
2025-11-08T21:45:55+00:00;26;
2025-11-08T21:48:55+00:00;22;
2025-11-08T21:50:55+00:00;21;
2025-11-08T23:07:19+00:00;0;
2025-11-09T00:23:24+00:00;0;
2025-11-09T00:23:25+00:00;20;
2025-11-09T00:40:58+00:00;23;
2025-11-09T00:43:58+00:00;25;
2025-11-09T00:47:58+00:00;27;
2025-11-09T00:48:59+00:00;28;
2025-11-09T00:53:58+00:00;30;
2025-11-09T00:57:58+00:00;31;
2025-11-09T01:13:59+00:00;30;
2025-11-09T01:20:00+00:00;28;
2025-11-09T01:23:00+00:00;27;
2025-11-09T01:26:59+00:00;25;
2025-11-09T01:30:58+00:00;23;
2025-11-09T01:33:59+00:00;22;
2025-11-09T01:39:19+00:00;20;
2025-11-09T04:00:37+00:00;20;
2025-11-09T04:00:38+00:00;90;
2025-11-09T04:17:23+00:00;20;
2025-11-09T09:14:08+00:00;20;
2025-11-09T09:14:09+00:00;65;
2025-11-09T09:56:11+00:00;0;
2025-11-09T14:18:13+00:00;0;
2025-11-09T14:18:14+00:00;85;
2025-11-09T14:26:15+00:00;76;
2025-11-09T14:35:06+00:00;0;
2025-11-09T16:59:26+00:00;0;
2025-11-09T16:59:27+00:00;90;
2025-11-09T17:18:07+00:00;79;
2025-11-09T17:19:07+00:00;1;
2025-11-09T17:58:09+00:00;1;
2025-11-09T17:58:10+00:00;90;
2025-11-09T18:16:31+00:00;84;
2025-11-09T18:20:30+00:00;80;
2025-11-09T18:23:22+00:00;0;
2025-11-09T19:21:03+00:00;0;
2025-11-09T19:21:04+00:00;20;
2025-11-09T19:38:36+00:00;23;
2025-11-09T19:39:36+00:00;24;
2025-11-09T19:41:36+00:00;26;
2025-11-09T19:42:36+00:00;27;
2025-11-09T19:44:36+00:00;29;
2025-11-09T19:45:36+00:00;30;
2025-11-09T19:48:36+00:00;33;
2025-11-09T19:51:36+00:00;36;
2025-11-09T19:52:36+00:00;37;
2025-11-09T19:53:37+00:00;38;
2025-11-09T19:57:36+00:00;42;
2025-11-09T19:58:36+00:00;43;
2025-11-09T19:59:36+00:00;44;
2025-11-09T20:02:37+00:00;47;
2025-11-09T20:04:36+00:00;49;
2025-11-09T20:05:36+00:00;50;
2025-11-09T20:09:36+00:00;54;
2025-11-09T20:11:36+00:00;56;
2025-11-09T20:13:36+00:00;58;
2025-11-09T20:14:36+00:00;59;
2025-11-09T20:15:36+00:00;60;
2025-11-09T20:19:36+00:00;63;
2025-11-09T20:24:37+00:00;65;
2025-11-09T20:33:58+00:00;66;
